,Pg0,Pg1,Pg2,Load_P1,Load_P2,Load_P3,Load_Q1,Load_Q2,Load_Q3,RS_P1,RS_P2,RS_Q1,RS_Q2,P0,P1,P2,P3,P4,P5,P6,P7,P8,Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,U0,U1,U2,U3,U4,U5,U6,U7,U8,Ud0,Ud1,Ud2,Ud3,Ud4,Ud5,Ud6,Ud7,Ud8,P_03,P_34,P_45,P_25,P_56,P_67,P_71,P_78,P_83
777,77.67384964077078,127.48340877282196,70.33474157862705,89.64725953883706,108.75490451256698,141.8668840174866,29.88241984627902,38.06421657939844,56.746753606994645,48.87286968548346,19.682305589979766,14.661860905645037,6.560768529993255,-77.81046039507525,-127.48340877282196,-70.33474157862705,-48.87286968548346,89.64725953883706,-19.682305589979766,108.75490451256698,0.0,141.8668840174866,-11.560558269241028,-10.555419895262958,10.035576988297521,-14.661860905645037,29.88241984627902,-6.560768529993256,38.06421657939845,0.0,56.746753606994645,1.0,0.9999999999999999,0.9999999999999998,0.994351700691812,0.9828640420775451,1.0067249139321521,0.9855031090161204,0.9965930425581239,0.9591513534872204,0.0,3.960948052618684,1.6009994404211876,-2.5833915971657113,-5.023173681809343,-0.745393410036399,-3.27005817315112,-0.6247158152244309,-6.49423654684695,77.81046039507525,46.11877519088918,-43.89824006224226,70.33474157862707,45.339035312583945,-63.69036241814795,-127.48340877282197,63.434656782692564,-79.78901657531848
778,77.1023520370724,113.38774764547334,86.43572664573831,102.34222926040678,109.69767468399414,137.3940983895629,34.11407642013559,38.394186139397945,54.957639355825165,54.30028063033129,22.005686224188015,16.290084189099385,7.335228741396005,-77.44894518552434,-113.38774764547333,-86.43572664573833,-54.30028063033129,102.34222926040678,-22.005686224188015,109.69767468399412,0.0,137.3940983895629,-12.177311109957145,-9.295875202985144,8.458455601678622,-16.290084189099385,34.11407642013559,-7.335228741396005,38.394186139397945,0.0,54.95763935582516,1.0,1.0,1.0,0.9939874448877544,0.9774645841942279,1.006232297341706,0.9851206529626952,0.9967126423355648,0.9608732858215735,0.0,2.9969184305241567,2.6981450004269676,-2.5723237563470325,-5.253210342788954,-0.18720739070154058,-3.324368304142226,-1.0803134455053438,-6.493446382170312,77.44894518552434,51.161328929645094,-51.646976607333514,86.4357266457383,55.70321067578848,-54.3891267552722,-113.38774764547334,58.73335196606207,-79.82775408009692
779,65.73504755513999,104.92373758141312,71.90420466761623,93.60577041177628,92.40952001167776,108.51961494714553,31.201923470592092,32.343332004087216,43.40784597885821,28.944539443290484,26.35391130102297,8.683361832987146,8.784637100340989,-65.63570732875684,-104.92373758141312,-71.90420466761623,-28.944539443290484,93.60577041177628,-26.35391130102297,92.40952001167776,0.0,108.51961494714553,-4.813467383797388,1.4520132446777438,17.226677311049002,-8.683361832987146,31.201923470592092,-8.784637100340989,32.343332004087216,0.0,43.407845978858205,1.0,0.9999999999999999,0.9999999999999998,0.9979438255445331,0.9849686886036834,1.0109732946470353,0.9948353002238821,1.0030534517773482,0.9761803025403258,0.0,4.163738196619505,3.275156036239149,-2.1711165020586334,-4.2931639531086345,0.8864612191328186,-1.5677733081317156,0.4151978321031815,-4.735639818990783,65.63570732875684,40.90114376791899,-52.99916412010523,71.904204667603,44.129678641711585,-48.52304485366327,-104.92373758139384,56.196501937373874,-53.34804700505268
780,48.604199742807545,102.63965609883834,78.9833400922209,83.80480647441969,97.23770770599917,113.94576315577157,27.93493549147323,34.03319769709971,45.57830526230863,33.06388671989229,34.854555443847346,9.919166015967686,11.618185147949115,-48.95228874502832,-102.63965609883834,-78.98334009222089,-33.06388671989229,83.80480647441969,-34.854555443847346,97.23770770599918,0.0,113.94576315577157,-3.605529826533484,0.5096256770124228,19.6929953366365,-9.919166015967686,27.93493549147323,-11.618185147949115,34.03319769709971,0.0,45.57830526230863,1.0,1.0,0.9999999999999999,0.9983214844536434,0.9889150660173947,1.0125984371680639,0.9940012782151556,1.0023733478461048,0.9740574142727388,0.0,4.948328715201191,5.256934050861062,-1.6184729972200462,-2.988611932924578,2.6371238276955427,-0.4446734754635773,1.2790117200222892,-4.253558953333884,48.95228874502832,26.69061156232533,-57.24102350389881,78.98334009220078,55.28829958218814,-42.32563438355461,-102.6396560988095,60.156873716091646,-54.964442158503886
781,65.69897103416483,79.61349734440722,59.93746198604164,64.30927743423287,88.19180618820825,102.31918793043583,21.436425811410956,30.867132165872885,40.92767517217433,33.18780442053166,19.197356597282635,9.956341326159498,6.399118865760878,-64.79517614990252,-79.61349734440722,-59.937461986041654,-33.18780442053166,64.30927743423287,-19.197356597282635,88.19180618820825,0.0,102.31918793043583,8.696965196865904,7.167336311063195,22.20553044136966,-9.956341326159498,21.436425811410956,-6.399118865760878,30.867132165872885,0.0,40.92767517217434,1.0,1.0,1.0,1.005702208311038,1.0024344257223576,1.0136211596057112,0.9984570055504257,1.0057112602579388,0.9857119517338242,0.0,1.0663226747102719,1.1691513802013473,-2.1267582252449873,-3.8710949510463073,-0.8166228871414535,-3.4410801663569117,-1.7695934432325453,-5.219158022997827,64.79517614990252,32.98400613279131,-31.5088128991379,59.93746198603891,47.23983848564589,-41.22376145264665,-79.61349734440485,38.24303630255072,-64.55027843122964
782,74.34102225789871,89.3401570750894,65.61131229115522,84.76794721890873,81.21763399636801,104.73165217551323,28.25598240630291,28.4261718987288,41.8926608702053,30.151720374778908,14.417563516896795,9.045516112433672,4.805854505632265,-73.61389461506747,-89.3401570750894,-65.61131229115523,-30.151720374778908,84.76794721890873,-14.417563516896791,81.21763399636801,0.0,104.73165217551323,0.8825005164383128,5.993462627009876,18.36084200327923,-9.045516112433672,28.255982406302913,-4.805854505632265,28.4261718987288,0.0,41.89266087020529,1.0,1.0,0.9999999999999999,1.0014064084809555,0.9912826507807897,1.0114904542204277,0.9988365202959706,1.0052978153393801,0.981356519678479,0.0,2.067000867511691,1.429866361414307,-2.4267464376858574,-4.725676643514724,-0.748554677722496,-2.8749160474242386,-1.1170366764120285,-5.285772245528111,73.61389461506747,43.97705013603763,-41.1211499460425,65.6113122911514,38.23626324803653,-43.16057891437163,-89.34015707508422,46.01998911088928,-59.39969699291206
783,70.13204409351057,123.77592526812874,99.40784523930556,96.15832662422595,103.05636237268122,137.24083071564547,32.05277554140865,36.06972683043843,54.89633228625819,27.89949513506603,19.26277490405715,8.369848540519808,6.420924968019049,-70.9123884037459,-123.77592526812876,-99.40784523930557,-27.89949513506603,96.15832662422595,-19.262774904057153,103.0563623726812,0.0,137.24083071564547,-19.790944639725012,-10.27339335062942,7.886861048350852,-8.369848540519808,32.05277554140865,-6.420924968019047,36.06972683043843,0.0,54.89633228625819,1.0,0.9999999999999999,0.9999999999999999,0.9894438539307189,0.9757466292342287,1.0063091835815132,0.9865639693107735,0.9965861971086798,0.9565511153493598,0.0,5.7535296542965035,5.574097052214595,-2.3659169799043425,-4.068411629197196,2.2555168030142454,-0.7580796565057489,1.3014689214597797,-5.565766655387811,70.9123884037459,32.86294056623602,-63.497368680097004,99.40784523930556,53.521543284889304,-49.89702600190062,-123.77592526812873,73.65723968625652,-65.39834313578848
784,58.71650808560435,101.46415987055187,73.49431428000146,89.10180482846555,84.49894972754488,116.73831996137393,29.700601609488515,29.574632404640706,46.69532798454958,31.207467939834878,28.661268418492757,9.362240381950462,9.553756139497585,-58.961508991336416,-101.46415987055187,-73.49431428000148,-31.207467939834878,89.10180482846555,-28.661268418492757,84.49894972754488,0.0,116.73831996137393,-5.659674907041108,2.2976085632427043,19.520051510582903,-9.362240381950462,29.700601609488515,-9.553756139497585,29.57463240464071,0.0,46.69532798454958,1.0,1.0,1.0000000000000002,0.9973184485261368,0.9864175583237526,1.0123552585024873,0.9973628866267554,1.0034418506885043,0.9727171200178955,0.0,4.578322922503685,4.255443946281557,-1.9514787406837766,-3.671245627494842,1.8172281861412105,-0.6753760420424704,0.9549534737965379,-4.672467515210416,58.961508991336416,33.22936983897205,-56.06764051021858,73.49431427998192,44.827848428019095,-39.91776006378903,-101.46415987051734,61.409395794661854,-56.55834836918209
785,59.3125961953421,103.30378815017396,53.070555728194876,84.72698719789064,91.55244589633115,113.70963469445425,28.242329065963546,32.0433560637159,45.483853877781705,51.61747064345355,25.6426111853871,15.485241193036064,8.5475370617957,-59.04336103341182,-103.30378815017394,-53.070555728194876,-51.61747064345355,84.72698719789064,-25.6426111853871,91.55244589633115,0.0,113.70963469445424,3.8404345277608627,2.775290508053388,19.6987490182496,-15.485241193036064,28.242329065963546,-8.5475370617957,32.0433560637159,0.0,45.4838538777817,1.0,1.0,1.0000000000000002,1.002788953052908,0.9925109784829506,1.0120214201183226,0.9959362974820516,1.0038131021006669,0.9784756493995023,0.0,3.2034791894435712,1.2374098244251808,-1.9435241201691478,-4.326117620781087,-0.5235626009468921,-2.65702826251279,-0.48430874784141975,-5.0387438798033415,59.04336103341182,45.65770336370609,-39.424017800635276,53.0705557281882,38.67337536132444,-53.070359400483575,-103.30378815015892,49.99094128969759,-64.53160053106467
786,60.43503031844179,97.82152602827902,76.76753839104413,83.07277400120705,85.70831231089298,116.40718326697541,27.690924667069016,29.99790930881254,46.562873306790166,33.62692219624647,19.76039859748869,10.08807665887394,6.58679953249623,-60.28696579282165,-97.82152602827902,-76.76753839104413,-33.62692219624647,83.07277400120705,-19.76039859748869,85.70831231089298,0.0,116.4071832669754,-3.0035515493534604,2.4853972712033396,18.017773882208928,-10.08807665887394,27.690924667069012,-6.586799532496229,29.997909308812545,0.0,46.562873306790166,1.0,0.9999999999999999,1.0,0.9988737395678853,0.9896637578586249,1.0115592080074878,0.9967448925435046,1.0034176947247322,0.9742232995015707,0.0,3.8121130461329114,3.740732888459588,-1.9922574731122755,-3.714739907910121,1.1918504056329642,-1.3367956124269644,0.31890530726202615,-4.899645023593126,60.28696579282165,33.10521503003296,-50.15754231914659,76.7675383910318,45.36830340134322,-40.592162816271966,-97.82152602825539,57.08711202210243,-60.383715937843945
